name,nse_symbol,isin
20 Microns Limited,20MICRONS,INE144J01027
21st Century Management Services Limited,21STCENMGM,INE253B01015
360 ONE WAM LIMITED,360ONE,INE466L01038
3B Blackbio Dx Limited,3BBLACKBIO,INE994E01018
3i Infotech Limited,3IINFOLTD,INE748C01038
3M India Limited,3MINDIA,INE470A01017
3P Land Holdings Limited,3PLAND,INE105C01023
5Paisa Capital Limited,5PAISA,INE618L01018
63 moons technologies limited,63MOONS,INE111B01023
A2Z Infra Engineering Limited,A2ZINFRA,INE619I01012
AAA Technologies Limited,AAATECH,INE0D0U01013
Aadhar Housing Finance Limited,AADHARHFC,INE883F01010
Aakash Exploration Services Limited,AAKASH,INE087Z01024
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,INE198H01019
Aarnav Fashions Limited,AARNAV,INE750R01016
Aaron Industries Limited,AARON,INE721Z01010
Aartech Solonics Limited,AARTECH,INE01C001026
Aarti Drugs Limited,AARTIDRUGS,INE767A01016
Aarti Industries Limited,AARTIIND,INE769A01020
Aarti Pharmalabs Limited,AARTIPHARM,INE0LRU01027
Aarti Surfactants Limited,AARTISURF,INE09EO01013
Aarvi Encon Limited,AARVI,INE754X01016
Aastha Spintex Limited,AASTHA,INE2FMX01012
Aavas Financiers Limited,AAVAS,INE216P01012
Aban Offshore Limited,ABAN,INE421A01028
Abans Enterprises Limited,ABANSENT,INE365O01028
ABB India Limited,ABB,INE117A01022
Abbott India Limited,ABBOTINDIA,INE358A01014
Aditya Birla Capital Limited,ABCAPITAL,INE674K01013
A B Cotspin India Limited,ABCOTS,INE08PH01015
Allied Blenders and Distillers Limited,ABDL,INE552Z01027
Aditya Birla Fashion and Retail Limited,ABFRL,INE647O01011
A B Infrabuild Limited,ABINFRA,INE00YB01025
Aditya Birla Lifestyle Brands Limited,ABLBL,INE14LE01019
ABM International Limited,ABMINTLLTD,INE251C01025
ABM Knowledgeware Limited,ABMKNO,INE850B01026
Aditya Birla Real Estate Limited,ABREL,INE055A01016
Aditya Birla Sun Life AMC Limited,ABSLAMC,INE404A01024
ACC Limited,ACC,INE012A01025
Accelya Solutions India Limited,ACCELYA,INE793A01012
Accuracy Shipping Limited,ACCURACY,INE648Z01023
Action Construction Equipment Limited,ACE,INE731H01025
Ace Integrated Solutions Limited,ACEINTEG,INE543V01017
Automobile Corporation of Goa Limited,ACGL,INE451C01013
Archean Chemical Industries Limited,ACI,INE128X01021
Andhra Cements Limited,ACL,INE666E01020
Acme Solar Holdings Limited,ACMESOLAR,INE622W01025
ACS Technologies Limited,ACSTECH,INE366C01021
Acutaas Chemicals Limited,ACUTAAS,INE00FF01025
Adani Energy Solutions Limited,ADANIENSOL,INE931S01010
Adani Enterprises Limited,ADANIENT,INE423A01024
Adani Green Energy Limited,ADANIGREEN,INE364U01010
Adani Ports and Special Economic Zone Limited,ADANIPORTS,INE742F01042
Adani Power Limited,ADANIPOWER,INE814H01029
Addi Industries Limited,ADDIND,INE757C01021
ADF Foods Limited,ADFFOODS,INE982B01027
Archidply Decor Limited,ADL,INE0CHO01012
Ador Welding Limited,ADOR,INE045A01017
Adroit Infotech Limited,ADROITINFO,INE737B01033
Allied Digital Services Limited,ADSL,INE102I01027
Advait Energy Transitions Limited,ADVAIT,INE0ALI01010
Advance Agrolife Limited,ADVANCE,INE1B0W01010
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,INE199C01026
Advent Hotels International Limited,ADVENTHTL,INE28GN01010
Advanced Enzyme Technologies Limited,ADVENZYMES,INE837H01020
Advik Capital Limited,ADVIKCA,INE178T01024
Aegis Logistics Limited,AEGISLOG,INE208C01025
Aegis Vopak Terminals Limited,AEGISVOPAK,INE0INX01018
Artemis Electricals and Projects Limited,AEPL,INE757T01025
Aequs Limited,AEQUS,INE947N01017
Aeroflex Enterprises Limited,AEROENTER,INE065D01027
Aeroflex Industries Limited,AEROFLEX,INE024001021
Aeroflex Neu Limited,AERONEU,INE035801013
Amir Chand Jagdish Kumar (Exports) Limited,AEROPLANE,INE05TO01019
Aether Industries Limited,AETHER,INE0BWX01014
Afcons Infrastructure Limited,AFCONS,INE101I01011
Affle 3i Limited,AFFLE,INE00WC01027
Affordable Robotic & Automation Limited,AFFORDABLE,INE692Z01013
Akme Fintrade (India) Limited,AFIL,INE916Y01027
Abans Financial Services Limited,AFSL,INE00ZE01026
Agarwal Industrial Corporation Limited,AGARIND,INE204E01012
Dr. Agarwal's Health Care Limited,AGARWALEYE,INE943P01029
AGI Greenpac Limited,AGI,INE415A01038
Agi Infra Limited,AGIIL,INE976R01033
Allcargo Global Limited,AGL,INE1YPB01014
Agri-Tech (India) Limited,AGRITECH,INE449G01018
Agro Phos India Limited,AGROPHOS,INE740V01019
AGS Transact Technologies Limited,AGSTRA,INE583L01014
Anlon Healthcare Limited,AHCL,INE0Y8W01025
Ahlada Engineers Limited,AHLADA,INE00PV01013
Asian Hotels (East) Limited,AHLEAST,INE926K01017
Ahluwalia Contracts (India) Limited,AHLUCONT,INE758C01029
Asian Hotels (West) Limited,AHLWEST,INE915K01010
AIA Engineering Limited,AIAENG,INE212H01026
Authum Investment & Infrastructure Limited,AIIL,INE206F01022
Airan Limited,AIRAN,INE645W01026
Airo Lam limited,AIROLAM,INE801L01010
Ajanta Pharma Limited,AJANTPHARM,INE031B01049
Ajax Engineering Limited,AJAXENGG,INE274Y01021
Ajmera Realty & Infra India Limited,AJMERA,INE298G01035
Ajooni Biotech Limited,AJOONI,INE820Y01021
Akash Infra-Projects Limited,AKASH,INE737W01013
AK Capital Services Limited,AKCAPIT,INE701G01012
Akg Exim Limited,AKG,INE00Y801016
AKI India Limited,AKI,INE642Z01026
Akshar Spintex Limited,AKSHAR,INE256Z01025
AksharChem India Limited,AKSHARCHEM,INE542B01011
Aksh Optifibre Limited,AKSHOPTFBR,INE523B01011
Akums Drugs and Pharmaceuticals Limited,AKUMS,INE09XN01023
Alankit Limited,ALANKIT,INE914E01040
Albert David Limited,ALBERTDAVD,INE155C01010
Alembic Limited,ALEMBICLTD,INE426A01027
Alfred Herbert India Limited,ALFREDHE,INE782D01027
Algoquant Fintech Limited,ALGOQUANT,INE598D01035
Alicon Castalloy Limited,ALICON,INE062D01024
Alivus Life Sciences Limited,ALIVUS,INE03Q201024
Alkali Metals Limited,ALKALI,INE773I01017
Alkem Laboratories Limited,ALKEM,INE540L01014
Alkyl Amines Chemicals Limited,ALKYLAMINE,INE150B01039
Allcargo Logistics Limited,ALLCARGO,INE418H01029
Alldigi Tech Limited,ALLDIGI,INE835G01018
All Time Plastics Limited,ALLTIME,INE0GV601021
Almondz Global Securities Limited,ALMONDZ,INE326B01035
Alok Industries Limited,ALOKINDS,INE270A01029
Alpa Laboratories Limited,ALPA,INE385I01010
Alphageo (India) Limited,ALPHAGEO,INE137C01018
Alpine Texworld Limited,ALPINETEX,INE1JCQ01037
Alufluoride Limited,ALUFLUOR,INE058F01019
Amagi Media Labs Limited,AMAGI,INE121R01077
Amal Limited,AMAL,INE841D01013
Amanta Healthcare Limited,AMANTA,INE084K01015
Amarjothi Spinning Mills Limited,AMARJOTHI,INE484D01012
Ambalal Sarabhai Enterprises Limited,AMBALALSA,INE432A01017
Amber Enterprises India Limited,AMBER,INE371P01015
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,INE792B01012
Ambika Cotton Mills Limited,AMBIKCO,INE540G01014
Ambuja Cements Limited,AMBUJACEM,INE079A01024
AMD Industries Limited,AMDIND,INE005I01014
Amj Land Holdings Limited,AMJLAND,INE606A01024
Amines & Plasticizers Limited,AMNPLST,INE275D01022
Amrutanjan Health Care Limited,AMRUTANJAN,INE098F01031
Anand Rathi Wealth Limited,ANANDRATHI,INE463V01026
Anant Raj Limited,ANANTRAJ,INE242C01024
ANDHRA PAPER LIMITED,ANDHRAPAP,INE435A01051
The Andhra Sugars Limited,ANDHRSUGAR,INE715B01021
Andrew Yule & Company Limited,ANDREWYU,INE449C01025
Angel One Limited,ANGELONE,INE732I01021
Anik Industries Limited,ANIKINDS,INE087B01017
Ankit Metal & Power Limited,ANKITMETAL,INE106I01010
Anmol India Limited,ANMOL,INE02AR01019
Annapurna Swadisht Limited,ANNAPURNA,INE0MGM01017
Ansal Properties & Infrastructure Limited,ANSALAPI,INE436A01026
Ansal Buildwell Limited,ANSALBU,INE030C01015
Antelopus Selan Energy Limited,ANTELOPUS,INE818A01017
Antarctica Limited,ANTGRAPHIC,INE414B01021
Anthem Biosciences Limited,ANTHEM,INE0CZ201020
Anuh Pharma Limited,ANUHPHR,INE489G01022
The Anup Engineering Limited,ANUP,INE294Z01018
Anupam Rasayan India Limited,ANURAS,INE930P01018
Apar Industries Limited,APARINDS,INE372A01015
Anjani Portland Cement Limited,APCL,INE071F01012
Apcotex Industries Limited,APCOTEXIND,INE116A01032
Apex Frozen Foods Limited,APEX,INE346W01013
APL Apollo Tubes Limited,APLAPOLLO,INE702C01027
Alembic Pharmaceuticals Limited,APLLTD,INE901L01018
Apollo Micro Systems Limited,APOLLO,INE713T01028
Apollo Hospitals Enterprise Limited,APOLLOHOSP,INE437A01024
Apollo Pipes Limited,APOLLOPIPE,INE126J01016
Apollo Tyres Limited,APOLLOTYRE,INE438A01022
Apollo Sindoori Hotels Limited,APOLSINHOT,INE451F01024
Apoorva Leasing Finance and Investment Company Limited,APOORVA,INE217S01014
Aptech Limited,APTECHT,INE266F01018
Aptus Value Housing Finance India Limited,APTUS,INE852O01025
Aqylon Nexus Limited,AQYLON,INE416A01051
Archidply Industries Limited,ARCHIDPLY,INE877I01016
Archies Limited,ARCHIES,INE731A01020
ARCL Organics Limited,ARCL,INE372M01010
Ardee Industries Limited,ARDEE,INE0XNF01022
Amara Raja Energy & Mobility Limited,ARE&M,INE885A01032
Rajdarshan Industries Limited,ARENTERP,INE610C01014
Arfin India Limited,ARFIN,INE784R01023
Aries Agro Limited,ARIES,INE298I01015
Arihant Foundations & Housing Limited,ARIHANT,INE413D01011
Arihant Capital Markets Limited,ARIHANTCAP,INE420B01036
Arihant Superstructures Limited,ARIHANTSUP,INE643K01018
Arisinfra Solutions Limited,ARIS,INE0H9P01028
Arkade Developers Limited,ARKADE,INE0QRL01017
Arman Financial Services Limited,ARMANFIN,INE109C01017
Aro Granite Industries Limited,AROGRANITE,INE210C01013
Arrow Greentech Limited,ARROWGREEN,INE570D01018
Arshiya Limited,ARSHIYA,INE968D01022
Anand Rathi Share and Stock Brokers Limited,ARSSBL,INE549H01021
Artemis Medicare Services Limited,ARTEMISMED,INE025R01021
Art Nirman Limited,ARTNIRMAN,INE738V01013
Arvee Laboratories (India) Limited,ARVEE,INE006Z01016
Arvind Limited,ARVIND,INE034A01011
Arvind Fashions Limited,ARVINDFASN,INE955V01021
Arvind SmartSpaces Limited,ARVSMART,INE034S01021
Aryaman Financial Services Limited,ARYAMAN,INE032E01017
Asahi India Glass Limited,ASAHIINDIA,INE439A01020
Asahi Songwon Colors Limited,ASAHISONG,INE228I01012
Automotive Stampings and Assemblies Limited,ASAL,INE900C01027
Associated Alcohols & Breweries Ltd.,ASALCBR,INE073G01016
Ashapura Minechem Limited,ASHAPURMIN,INE348A01023
Ashiana Housing Limited,ASHIANA,INE365D01021
Ashika Global Securities Limited,ASHIKAG,INE094B01013
Ashima Limited,ASHIMASYN,INE440A01010
Ashoka Buildcon Limited,ASHOKA,INE442H01029
Ashoka Metcast Limited,ASHOKAMET,INE760Y01011
Ashok Leyland Limited,ASHOKLEY,INE208A01029
Asian Energy Services Limited,ASIANENE,INE276G01015
Asian Hotels (North) Limited,ASIANHOTNR,INE363A01022
Asian Paints Limited,ASIANPAINT,INE021A01026
Asian Granito India Limited,ASIANTILES,INE022I01019
Asian Tea & Exports Limited,ASIANTNE,INE822B01017
ASK Automotive Limited,ASKAUTOLTD,INE491J01022
Avio Smart Market Stack Limited,ASMS,INE855F01042
Aspinwall and Company Limited,ASPINWALL,INE991I01015
Assam Entrade Limited,ASSAMENT,INE165G01010
Asian Star Company Limited,ASTAR,INE194D01017
Astec LifeSciences Limited,ASTEC,INE563J01010
Aster DM Quality Care Limited,ASTERDM,INE914M01019
Astral Limited,ASTRAL,INE006I01046
Astra Microwave Products Limited,ASTRAMICRO,INE386C01029
AstraZeneca Pharma India Limited,ASTRAZEN,INE203A01020
Astron Paper & Board Mill Limited,ASTRON,INE646X01014
Atal Realtech Limited,ATALREAL,INE0ALR01029
Atam Valves Limited,ATAM,INE09KD01013
Adani Total Gas Limited,ATGL,INE399L01023
Ather Energy Limited,ATHERENERG,INE0LEZ01016
Allcargo Terminals Limited,ATL,INE0NN701020
ATLANTAA LIMITED,ATLANTAA,INE285H01022
Atlanta Electricals Limited,ATLANTAELE,INE0Z4F01028
Atlas Cycles (Haryana) Limited,ATLASCYCLE,INE446A01025
Atul Limited,ATUL,INE100A01010
Atul Auto Limited,ATULAUTO,INE951D01028
AU Small Finance Bank Limited,AUBANK,INE949L01017
